,Number,Names
372150,372151, Distance to the beach and polite reception staff 
372178,372179, Very close to beach and shopping center nice staff
372184,372185, Good value for money Helpful staff
372231,372232, As usual good service clean helpful staff
372232,372233, Stayed a few times before good service friendly staff 
372239,372240, Really close to the beach and the staff were unreal 
372254,372255, Friendly staff who were able to assist with any query I had 
372275,372276, everything was ok staff was helpfull 
372277,372278, Excellent staff and comfy beds Beach is 3 mins walking Breakfast is ok 
372278,372279, Bed extra comfortable Breakfast was very good Nice staff
372287,372288, Excellent staff Very clean and quiet
372298,372299, Bed very comfy staff very friendly
372310,372311, ALL the staff were extremely helpful Good breakfast comfortable beds 
372330,372331, Large bed great breakfast friendly staff 
372348,372349, Friendly staff Tasty food Nice area Close to beach
372360,372361, The building was fantastic the staff were welcoming and we loved the swimming pool 
372386,372387, fantastic view over the Thames gallery for evening drinks and breakfast was lovely with a feeling of exclusiveness all the staff were very friendly polite and professional 
372395,372396, Lovely staff all had a smile and welcome for you 
372405,372406, The staff were lovely and the beds were very comfy
372430,372431, The staff were particularly accommodating and friendly
372447,372448, I liked the staff I loved how they did their best to help me as a guest in both simple and complicated matters
372472,372473, The staff was so wonderful My daughter recently got engaged and we were celebrating and the staff made it even extra special for her 
372511,372512, Great all round friendly staff happy to help with all
372514,372515, The staff went that extra mile to make our stay as amazing as possible
372521,372522, The staff are so lovely and accommodating 
372542,372543, the staff were very attentive and it was comfortable
372552,372553, The staff are totally customer focused the attention to detail is beyond reproach
372570,372571, Your staff are so helpful and engaging reflects good management
372571,372572, Good friendly staff Well trained and experienced
372575,372576, Ambiance staff position and view
372638,372639, Bad staff facilities promised did not work
372659,372660, All was perfect thanks to the reception staff and the floor staff They were really helpful The bed was excellent to be honest i am in the hospitality business it is worth staying at Derby A real 4 star
372688,372689, Comfortable clean courteous friendly staff close to camp nou
372704,372705, Extra wide bead helpful staff good quality of service
372722,372723, We always book there every clasico its always great and staff super helpful and efficient
372735,372736, A complete scam Overpriced with no facilities They nearly lost our passports We requested for a half an hour extension on the check out which we did not get Rude and inefficient staff Would advise against staying here 
372746,372747, The staff were friendly and helpful They took a genuine interest in us 
372757,372758, The concierge whole staff specially concierge Javi were great to provide us with really good service and rich information about the city and its enchantments 
372767,372768, Very clean and very friendly and helpful staff 
372768,372769, Bed very comfy and property beautiful plus great staff 
372774,372775, The staff is very friendly and helpful Breakfast is good 
372785,372786, Reception staff was really helpful Parking was well organized 
372789,372790, Friendly staff breakfast ok although for the same price you can get a more varied breakfast in the city 
372790,372791, Great shower Friendly staff very helpful 
372806,372807, The staff at reception were very helpful and friendly 
372832,372833, Breakfast was brilliant wide variety on the menu or buffet table All of the staff went out of their way to make our experience at the Jumeriah Lowdnes comfortable 
372865,372866, The staff were really attentive to my needs
372879,372880, The staff and facilities were first class
372890,372891, The staff are absolutely fabulous 
372900,372901, Very helpful and caring staff The service is superb 
372901,372902, The cleanliness and the staff hospitality
372911,372912, Very comfy bed Lovely staff very clean well catered
372957,372958, Evrything was good The staff very friendlly and helpful
372978,372979, The staff are very keen to achieve the greatest level of satisfaction for their guests
372988,372989, Excellent staff helpful kind respectful Very nice spa facilities especially the pool 
373009,373010, Clean and stylish comfy bed super shower Lovely little balcony overlooking characterful street Rooftop bar seating pool and tapas perfect for relaxing tired sightseeing legs Friendly efficient courteous staff 
373014,373015, This is a great place to stay close to the centre of Barcelona and the Palau de la Musica The staff were fantastic and made sure that we had absolutely everything we needed and that nothing had been overlooked The level of service was impressive 
373023,373024, Very comfy bed Housekeeping staff excellent and very efficient Breakfast items are many and varied and very fresh Fab breakfast and quick service Concierge and reception staff very polite and helpful Everyone speaks good English 
373035,373036, We stayed here whilst taking part in Barcelona half marathon was located very close and was the ideal place to stay pre and post run They provide free drinks snacks from 2pm 11pm each day and the staff were very courteous and helpful They even moved the breakfast timetable to earlier than usual to accommodate those competing in the race 
373037,373038, Fantastic central position Afternoon food and drinks were very welcome The staff were very friendly and helpful with good English 
373085,373086, Lovely and helpful reception staff Jamie the bellboy was exceptionally helpful We would also commend the service of Yuri the bar buffet manager
373093,373094, We had 2 breakfasts one in the market and one at the airport Sorry that should be in question 2 Clean and tidy with pleasant staff 
373104,373105, The bed was especially comfortable the staff was the nicest Ruth and Yuri presented the snack area to us which is the best I have ever seen William gave us a wonderful selection of places to eat and they were all so good and fresh 
373116,373117, Excellent stay at the Catalonia Magdalene s Wonderful service Raquel and the rest of the front desk staff do a wonderful job Would highly come back and recommend it 
373142,373143, The beds are HUGE and the sun loungers around the roof top pool are fantastic They also lay out free food in the afternoons which is a nice touch The staff are all really friendly and helpful Fab stay want to return already 
373143,373144, The facilities beautiful and delicious breakfast bed very comfortable soft towels friendliness of the staff
373145,373146, excellent staff couldn t do more for you great breakfast great architecture great housekeeping staff
373174,373175, Great friendly staff Can not rate highly enough
373176,373177, Friendly and professional staff
373182,373183, Loved the staff very friendly always recognised Very surprised by the complimentary snacks Would definitely come back
373237,373238, Lovely helpful staff beautiful terrace and great snacks
373261,373262, The property was immaculate and the professionalism of the staff exceptional Nice relaxed atmosphere 
373271,373272, snacks were great staff super friendly
373273,373274, Very modern facilities lovely roof terrace free snacks helpful staff
373276,373277, We found the staff extra friendly and the roof top pool and bar a great place to relax 
373278,373279, Friendly staff complimentary food and drink from 1pm 11pm clean and relaxing pool area 
373287,373288, The staff were very professional and accomodating to our needs
373373,373374, Rooftop bar great views Efficient and friendly staff Recommend take a jumper cardigan if staying up at the roof top bar as we got cold at night in mid May Pool was a good option during the warm days Being next to Sants station meant access to Barcelona tourist attractions was really easy buy a ten trip for ten euro metro pass at the stations 
373378,373379, your staff was excellent Jordi was so helpful and worth returning for the food was very good and the terrazo nachos were great service was good and cheerful 
373420,373421, The staff was super nice and helpful
373443,373444, Concierge service Roof top bar friendly staff nice food at bar 
373459,373460, The staff are very friendly It is a quick trip by metro to the hustle and bustle of La Rambla It is clean however one night the drains were really bad Would stay there again 
373486,373487, Very comfy bed good breakfast selection excellent friendly and helpful staff
373499,373500, The roof terrace and swimming pool The staff where very helpful and pleasant 
373505,373506, Close to all forms of transport Cleaning staff excellant Reception staff very friendly 
373508,373509, The staff on the front desk were 10 10 for friendliness and helpfulness 
373529,373530, Nice urban pool 5 min walk from Sants Estaci Little breakfasts places in the area Friendly staff 
373561,373562, Sunroof terrace was lovely and staff up there were so nice Food was very good too Bit pricey though Breakfast buffet was great 
373572,373573, The staff were friendly courteous and helpful
373591,373592, Clean warm staff very friendly and helpful made us feel very welcome 
373613,373614, Friendly helpful staff bed comfortable and nice breakfast buffet near to train station
373629,373630, Fantastic links to transport Super friendly staff and great facilities Roof top pool and bar were brilliant 
373636,373637, The staff were friendly and helpful 
373637,373638, The bed was big and comfy The staff were helpful and friendly 
373643,373644, THe staff and everyone is so kind and friendly
373682,373683, Friendly staff and cleanliness throughout
373714,373715, The staff is welcoming the WiFi connection is wonderful
373740,373741, Nice staff Clean Delicious breakfast
373752,373753, Proximity to the railway station and it was well run with friendly stafff
373794,373795, Near Sants railway station and Rambla too Exellent breakfast Very Good staff 
373820,373821, Great service at terrace Bar and friendly staff
373833,373834, Close to metro good breakfast and amazing staff Nice to have balcony 
373845,373846, Friendly helpful staff rooftop pool 
373851,373852, the breakfast is excellent staff and services is more than great
373872,373873, Roof top pool was superb and desk staff a delight 
373891,373892, the pool balcony and friendly staff
373892,373893, swimming pool breakfast friendly staff
373900,373901, very convenient for Sants Station helpful staff Nice pool on the roof 
373914,373915, The staff were so friendly bar prices for food drink
373951,373952, The staff were incredibly friendly really helpful and the facilities were very useful 
373954,373955, Was very clean and the staff were super friendly
373973,373974, Position terrace courtesy of staff
373982,373983, I really like the bar staff were so friendly and the cleaning staff were very vigilant 
373984,373985, everything The staff were so cute and helpfull 
373985,373986, Pleasant staff and we were so grateful to be able to check in early 
373999,374000, Very friendly reception staff Good breakfast 
374010,374011, Nice and friendly staff tasty fruit at breakfast 
374034,374035, Friendliness and comfort helpful staff
374037,374038, Very efficient and welcoming reception staff
374085,374086, Efficient and professional staff Cleanliness 
374092,374093, Very friendly and helpful staff 
374101,374102, The friendliness of the staff and the facilities
374178,374179, friendly helpful staff cool bar area comfortable bed
374203,374204, Amazingly friendly staff fantastic breakfast that shows so much love for the guests Definitely come back 
374226,374227, comfy beds and pillows attentive and helpful staff special thanks for the anniversary present it was a lovely surprise 
374230,374231, Walking distance to La Rambla and Passeig de Gracia Good value for the money and very nice and helpful staff 
374235,374236, Veronica made our stay just by her good nature and very pleasant during our breakfast every morning Its the staff that make you forget about minor dis likes Thank You Veronica
374245,374246, The staff went the extra mile to help with planning a journey by public transport
374257,374258, Everything but especially the very kind and welcoming staff I learn a lot from them on every visit They are generous with their time and knowledge The refurbished ground floor planta is quite impressive 
374258,374259, We had great help from the staff what to see and how to get there 
374277,374278, The Dante is tastefully decorated comfortable and in a good position Everything one could possibly need has been thought of including a very good buffet breakfast The quality of the staff is the reason I have been there over thirty times 
374285,374286, Super helpful staff Always pleasant and helpful Supermarket 2 doors up does cans of Estrella 50 cents a can 
374303,374304, The staff were extremely friendly and helpful
374306,374307, The staff and everything I could ever need
374318,374319, Friendly helpful staff Very comfortable 
374324,374325, The staff were outstanding and couldn t do enough for us and all done with a smile
374333,374334, The breakfast was good as well the staff receiption
374334,374335, The relaxing bar and lounge area help from staff on transport means and activities good taxi service from the reception 
374336,374337, One of the most comfortable beds I ve slept in very clean comfortable with helpful staff 
374365,374366, Everything especially the staff professional knowlegable kind and friendly 
374377,374378, The staff are brilliant Breakfast very good Perfect
374385,374386, Know the staff they know me good atmosphere close to where the vibe is 
374395,374396, The staff was very helpful friendly and good humored It was very clean The mattress was very comfortable We almost did not want to leave 
374427,374428, The bed and pillows were extra comfy We are still using the complementary water bottle for our travel needs in malaga The staff were always friendly and very accomodating even with our lack of spanish 
374444,374445, Close to main attractions Outdoor garden pool settings very nice and staff friendly 24 hour supermarket almost next door good breakfast cafe a couple of doors up 
374450,374451, With one exception all staff outstanding helpful agreeable 
374526,374527, Like the hospitality staff was so nice and polite we stayed their with our 1 year old daughter and the staff helped us in feeling like home 
374539,374540, Amazing staff very friendly and professional
374540,374541, All of the reception staff were incredibly helpful They were so pleasant and engaging Nothing nothing was too much trouble 
374543,374544, Very helpful staff helped organise our activities on New Year s Eve
374579,374580, Very friendly and helpful staff
374598,374599, Very friendly and helpful staff nice original and welcoming place Easy parking All good 
374603,374604, Friendly and heplful staff cleand central and comfortable
374613,374614, My second stay here Very helpful staff 
374615,374616, Very quiet but still in Walking distance to almost everything Friendly staff 
374644,374645, the staff was very kind and the breakfast was good 
374646,374647, The staff was really good and nice and very helpful The area is great for those who want to live in a safe and more quite area There are tons of luxury retail shops around and it s still very central 
374650,374651, On Arrival We were robbed at the airport and we lost our passports among many other things The staff specially the trainee Gerard were very helpful in supporting us during our difficult period and I would like to thank him and all the staff 
374655,374656, Bed was super comfortable staff amazing 
374670,374671, Super helpful staff Great breakfast spread 
374680,374681, Amazing staff and great hospitality very quiet and neat close to many attractions 
374700,374701, The staff is very friendly best breakfast I ever eat during this honeymoon very close to casa mila 
374703,374704, The bed was amazingly comfy very hard to get out of in the mornings The staff members particularly on reception were exceptionally helpful I travel a lot on business and would rate them among the best I ve encountered for friendliness efficiency and going the extra mile The breakfast was delicious and the garden is a delightful oasis in the midst of the city 
374795,374796, Friendly staff quait high and modern
374798,374799, Great staff very friendly someone was always there to help or answer a question
374804,374805, The trouble the staff went to help us with English
374807,374808, Modern very clean efficient and helpful staff 
374810,374811, Extremely helpful staff Made bookings eg for Sagrada Familia Roof top bar was great 
374813,374814, Friendly staff on arrival especially Gabriella 
374816,374817, Super stylish and fantastic staff Garden and rooftop pool especially good 
374824,374825, The reception staff were incredibly friendly and helpful 
374843,374844, Great staff and the duty manager Elizabeth was specially attentive we will definitely be back 
374852,374853, Comfort and knowledgable staff 
374864,374865, loved everything amazing staff amazing place loved the card as the key
374869,374870, The friendliness and professional staff 
374875,374876, Great architecture very comfortable Excellent knowledgeable staff
374894,374895, The staff and attention to detail were exceptional Especially Erica at reception who went out of her way to make us feel at home and so welcome She was also so helpful with all our requests for directions and assistance 
374929,374930, The staff at the reception was really nice smiling and helpful The waiters at the breakfast friendly and efficient and a good choice of food You can have you re breakfast till 12 00 wow 
374940,374941, The staffs were very helpful I wrote to them before I arrived asking for advice on tours and they were very prompt in their reply They go out of their way to make your holiday great 
374981,374982, The staff was very friendly and helpful at any time 
374982,374983, The reception staff were extremely helpful and friendly Made our stay very pleasant A friend has accidentally left her wallet in the safe box and only realised this when we were at the airport We managed to email them at the main reception and they very kindly arranged for her wallet to be delivered back to the UK Exemplary service shown by the staff 
375018,375019, The staff was super nice they provided great recommendations for authentic places to eat and things to see
375027,375028, Bed was comfy breakfast was good The staff were very friendly and helpful 
375030,375031, Frriendly staff comfortable stay 
375049,375050, The staff were all friendly and all was good We stayed there for 3 nights and were happy throughout our stay 
375050,375051, extremely friendly and understanding staff
375075,375076, The staff were incredibly friendly especially Nacho He was very helpful and nice 
375082,375083, Great breakfast and friendly staff
375084,375085, The vibe of the place is modern and artistic and staff was helpful 
375088,375089, Amazing night sleep The staff are so helpful and friendly 
375140,375141, Lovely staff nice feeling when i stay ill be back 
375148,375149, The staff were among the most friendly helpful and courteous I have ever met well done there 
375150,375151, the staff was great helpful and friendly with a big smile and warm welcome the most i like is the mobile that was provided to us with free internet and free local and international calls for your country the concierge was so helpful and kindly provide you with all information you need to know about the country 
375174,375175, The WiFi was exceedingly fast The staff were lovely and friendly too 
375239,375240, Very helpful and pleasant staff
375261,375262, The staff were exemplary I must single out Ian the concierge and David Fabio and Reggie They could not have been more professional or kind to me on my extended stay with my 15 month old son 
375327,375328, staff were incredibly sweet and helpful
375350,375351, Very helpful staff particularly the concierge and doorman
375364,375365, Great staff Concierge very helpful telling us about nice places to eat and how to get to places 
375370,375371, The staff really were exceptional and friendly From the receptionist and the concierge to the bar staff who made me one off rum cocktails to suit my every whim 
375385,375386, Very good concierge and reception staff 
375424,375425, the staff were very helpful and extremely pleasant 
375428,375429, Great staff at front desk Helpful with directions
375434,375435, The staff were exceptional I m in a wheelchair and they completely looked after me 
375443,375444, The staff is really good they take real pride in taking care of you
375445,375446, Courteous staff Well located Very comfortable 
375452,375453, The professional friendliness of the staff at all levels We are always warmly welcomed and looked after 
375470,375471, reception staff were excellent and the bar staff also
375481,375482, They gave me a free phone for internet and phone calls to France during my stay The staff was very helpful 
375488,375489, The service is top thanks for helina karlos madi and isabila the staff are greaaaaat
375507,375508, Nicely located in Marylebone and great service and staff
375514,375515, The staff were very attentive and pre empted our needs
375518,375519, From us checking in to checking out the staff were so friendly and nothing was too much trouble cant wait to go back again
375572,375573, Very well located staff also very helpful 
375581,375582, center of London staff are nice and professional Very good breakfast
375595,375596, Nothing sorry the staff were nice
375604,375605, staff were exceptionally helpful
375619,375620, I did like everything really was one of the best staff i delt with
375624,375625, Very professional and helpful staff
375637,375638, The staff were so friendly and helpful 
375654,375655, The staff Waz very good In particular the concierge
375660,375661, We liked the staff Also the breakfast was good
375678,375679, Very friendly staff Very clean 
375689,375690, Pleasant and helpful staff Proximity to Oxford street and main attractions Comfortable bed 
375693,375694, seriously extraordinary staff very respectful positive helpful
375719,375720, Everything The staff in particular were excellent 
375723,375724, Kind and helpful staff perfect breakfast and Times at 7 00 at your door Thank you very very much 
375729,375730, Very nice staff Very good facilities 
375732,375733, friendly and helpful concierge staff
375772,375773, Lovely friendly staff very comfy beds Made me feel special on my 50th birthday 
375807,375808, Very friendly and helpful staff 
375827,375828, The staff are kind and very accommodating
375836,375837, Beds comfortable staff very helpful
375852,375853, Friendly sincere authentic staff especially the concierge A relaxed yet professional environment Late 1200 checkout
375859,375860, Very friendly staff and helpful too Well positioned in quiet area but very close to busy Oxford Street 
375885,375886, Front office staff and concierge staff are first class
375901,375902, Friendly helpful staff that go the extra mile
375911,375912, The staff are always ready to help with a smile 
375913,375914, i always go to the mandeville great staff great place perfect neighborhood close to the best of london
375959,375960, The staff in the breakfast area were extremely helpful 
375972,375973, The staff were friendly helpful considerate 
375977,375978, The staff were all excellent and couldn t hav done more to make our stay comfortable The gardens were lovely and really nice to sit out and enjoy a glass of something 
375989,375990, Good size beds nice exterior surroundings the staff were all very warm and friendly 
375993,375994, Very friendly staff lovely venue
375998,375999, The staff were excellent very helpful and friendly Banqueting areas fine Food there was ok 
376017,376018, Although there were a couple of complaints things were resolved straight away and to a very high satisfaction they were very busy and were short staffed so copied quit well under the circumstances 
376031,376032, Good breakfast and pleasant bar staff
376046,376047, The excellent way my sons wedding reception was managed how every request was fulfilled and the staff so very attentive 
376083,376084, Lovely building breakfast good quality friendly staff Bed very comfortable
376090,376091, Great friendly staff nice lawned area for walking the dogs
376107,376108, We liked the staff they were very helpful and friendly and made us feel very special Our accommodation was superb and the grounds were beautiful the evening meals were very good and breakfast was amazing We had a fantastic few days 
376165,376166, The staff was helpful and the breakfast was great 
376183,376184, The staff treated us like gold Nothing was too much 
376198,376199, Comfortable bed good shower friendly helpful staff happy to help and compensate for any discomfort
376199,376200, Welcoming staff and clean accommodation A good breakfast 
376223,376224, Friendly staff Dinner and breakfast were good 
376260,376261, Comfy bed lots of space staff were excellent will be back
376296,376297, Helpful staff Good breakfast no one trying to hurry you 
376345,376346, Reception staff teally friendly and helpful
376347,376348, Reception staff excellent friendly and helpful 
376355,376356, The staff decorated our bed with flowers for our anniversary
376366,376367, clean and comfortable friendly and helpful staff Plenty of parking
376374,376375, The staff was so helpfull and polite 
376390,376391, The staff were wonderful and looked after us really well
376443,376444, 1 Reception staff was very kind and helpful 2 very close to turistic bus station the blue line 
376453,376454, I like this place all the staff are super friendly and the bar is great 
376471,376472, Nothing except for the staff and would like them even better if they could have canceled my stay and refunded my hard earned money 
376474,376475, Very Friendly and helpful staff
376487,376488, it s really good place and every staff is kind I love this place and the price is reasonable 
376489,376490, Extremely polite and helpful staff
376490,376491, The staff especially Natalia was most helpful
376495,376496, Helpful staff with good spoken English The breakfast is very good and value for money 
376505,376506, Very helpful and accommodating staff 
376514,376515, Really good breakfast and friendly staff and very easy to go to the citycenter with the metro 
376549,376550, Big thump up for friendly and helpful staff 
376633,376634, breakfast is awesome staff r friendly 
376672,376673, Friendly staff very clean few minutes walk distance to public transport not far from downtown comfortable
376722,376723, The silence the non intrusive way that staff behave good position within the limits of the city center close to it but in a quite and secluded area Perfect 
376728,376729, Great with the dog Helpful and friendly staff A better gym than I expected 
376736,376737, very friendly staff bar service in the evening really nice garden close to public transport 10 min walk bed was heaven
376737,376738, Fabulous delicious fresh buffet breakfast constantly checked by friendly and helpful staff 
376742,376743, The staff are friendly Very helpful 
376757,376758, Excellent breakfast staff very gentle and helpful fitness facility very convenient
376760,376761, Cleanliness Great shower very good beds and pillows great staff
376784,376785, First impression very helpful staff 
376793,376794, The staff were really friendly the bed was comfortable really liked the shower It was only 5 mins walk to subway so quite convenient
376810,376811, The staff was very nice and uncomplicated Also when necessary infos like parking garages or infos about vienna were reqired everyone was very helpful The breakfast was very delicious and also the cocktails at night were a pleasure 
376817,376818, Friendly staff contemporary accommodations the deck comfortable bed
376847,376848, Fairly new building friendly staff
376858,376859, excellent breakfast nice polite and friendly staff convenient area
376879,376880, The REAL DESIGN HOTEL as opposed to many shabby imitators good residential area 5 minutes from metro excellent staff
376884,376885, Interior decorating was outstanding Friendly helpful staff Check out time given on 3pm Had a wonderful stay 
376906,376907, Great young staff ready to help and to inform to run extra mile for guest 
376925,376926, The staff was so helpful with everything no matter what question was asked they done everything possible to find out
376944,376945, The cleanliness was perfect Good job housekeeping housekeeping staff was also very friendly with saying goodmorning and so on 
377010,377011, Great balcony view staff were great Modern and clean with easy access to the centre via the free travel card we were given
377048,377049, The staff was really concerned about all our questions and helpfull as much as could be
377121,377122, comfortable bed and helpful staff 
377126,377127, Very helpful and professional front desk staff who worked with mutual support andd teamwork
377133,377134, Friendly staff travel pass included close to everything Lovely
377144,377145, Close to the train station helpful staff 
377172,377173, Very friendly and helpful reception staff
377185,377186, Courteous staff always looking to help 
377213,377214, it wasn t cleaned but staffs are very kind
377217,377218, the staff were really good and noce
377249,377250, Spotlessly Clean Exceptionally helpful staff on reception Thanks Rafael Quiet Located on a huge main shopping street 
377258,377259, Most helpful and professional staff
377276,377277, Close to westbahnhof and raimund theater Free transportation tickets The staff on sunday morning was really helpful and friendly
377339,377340, The staff were so helpful giving recommendations and generally couldnt do enough that is a real treat when you compare against some you encounter 
377345,377346, I loved the extra attention the staff gives you especially Nadine at the front desk She helped me find the right visits and concert tickets It made Vienna an amazing experience 
377359,377360, The breakfast was very good with lots of choice The reception staff were very helpful with all our queries We loved being able to walk easily to the many attractions of this beautiful city 
377386,377387, Spa cleanliness and friendly staff
377387,377388, Amazing service from the staff who went out of their way to be kind and helpful 
377392,377393, Very good breakfasts Friendly and helpful staff
377403,377404, Lovely freshly cooked dishes for breakfast served by charming and cheerful waitresses Very helpful reception staff 
377407,377408, Perfect access to metro museums more Quiet very comfortable Great included breakfast Friendly staff Great art collection 
377408,377409, Amazingly helpful staff They were so friendly and nothing was too much trouble 
377411,377412, Very nice welcome excellent staff great breakfast and nice spa area
377428,377429, Breakfast was fabulous Very helpful staff 
377443,377444, Loved the breakfast staff and spa Beds were comfortable 
377452,377453, Delightful helpful staff who welcomed you back every time so you felt as though you were coming home
377481,377482, The front desk staff is very friendly when I arrived 
377507,377508, The staff is very kind They tried to help with their best 
377571,377572, reception staff very helpful cleaners were very efficient
377615,377616, Very friendly and helpful staff with a good sense of humor 
377624,377625, central position very clean parking staff friendly
377676,377677, Good breakfast very helpful staff 
377712,377713, Very caring and cooperative staff Even offered me refreshments on my first day in Vienna And let me keep my luggage on the last day after checkout 
377718,377719, I was up early and anxious to get to the airport The staff welcomed me to eat breakfast early and moved my airport transport up
377737,377738, Very Nice helpful staff everything are okay Air Condition the manager Bo s miklotsh is very Great with his son they supported us all staying time 
377745,377746, The staff was very nice they give you all what you need Parking is a bit difficult but they help you with that too 
377758,377759, All staffs were pretty cooperative
377760,377761, I like the staff Very pleasant and polite
377777,377778, The staff is very friendly and helpful They aim to please and accommodate your needs Close to metro station 
377813,377814, Everything Very quite comfortable And the staff is super friendly and helpful 10 out of 10
377925,377926, front staff was great and super helpful
377985,377986, Really nice modern decor Incredibly friendly and helpful staff 
378021,378022, The reception staff were very helpfull and nice 
378061,378062, Friendly staff Great breakfast modern clean look did i mention the great breakfast with lots of options 
378130,378131, The staff were amazing everyone is super friendly and helpful they ve managed to give us ana amazing guide through the city s most important attractions
378137,378138, Very friendly helpful desk staff 
378141,378142, Excellent food easy transortation good weather even in september parc guell amazing architecure sunset time shopping less price other big cities excellent treatment staff
378143,378144, Certain staff members were veryou helpful helped plan our days and transportation
378157,378158, Friendly and helpful staff tidiness and closeness to the city senter 
378174,378175, Clean and comfortable The staff is very kind Good for families with children 
378185,378186, Very comfortable bed Friendly staff 
378192,378193, The staff was great wifi worked well
378207,378208, Very friendly and professional staff
378232,378233, The whole experience was fantastic the staff went far beyond their duties to make our weekend special if you have a special celebration coming up go to the Arts you wont be disappointed
378235,378236, beds comfy reception staff very competent and polite 
378282,378283, Everything was perfect best 5 star service you can experience and I have been to many around the world was also upgraded to a wow suite which was amazing but the staff were all amazing
378284,378285, The staff could not be faulted Simply excellent Available to deal with every need with the kindest possible attitude 
378285,378286, The gym was good and reception staff friendly
378300,378301, Very friendly and welcoming staff particularly the concierge staff I also enjoyed the soft bed luxurious 
378306,378307, The staff were amazing and so helpful A very big thank you to Alexander and Clare they made it very special especially for our anniversary and my birthday our love to them both Xxx
378310,378311, Every part of the holiday was great The staff were amazing and were at hand at every moment My children and I really enjoyed the holiday 
378313,378314, Very family friendly a lot of attention to the children Our suite was brilliant with superb views Friendly staff all round N
378357,378358, Excellent views friendly staff Very good concierge service 
378380,378381, Very attentive staff Nicely stocked Club Lounge 
378407,378408, The bed is perfect and there is one young man from the staff called Mr Bruno Fernandes Who s working the pool He is the best
378423,378424, Pool facility and friendly staff
378431,378432, The staff was incredible Always smiling extremely helpful and great with kids Club level is worth the extra money 
378436,378437, Front desk check in staff excellent
378457,378458, The incredibly helpful and friendly staff 
378460,378461, Brilliant staff Amazing views 
378478,378479, staff is very friendy helful cooperative knowlegable
378496,378497, The best service in the world fraindly staff
378518,378519, The staff on club floor were very attentive and helpful especially Harry 
378537,378538, Friendly helpful staff named Hussein allowed us to check in very much earlier 
378555,378556, Great breakfast selection very helpful staff
378559,378560, Reception staff friendly and helpful Not expensive compared to other options in this range Conveniently located for public transport 
378592,378593, Very comfy bed nice staff and particularly brilliant bar man 
378672,378673, Breakfast buffet and staff were superb 
378702,378703, Very helpful staff Good breakfast Well placed for using public transport 
378728,378729, The staff on the desk were absolutely brilliant 
378739,378740, The breakfast staff were excellent polite and helpful Food choice very good 
378788,378789, Located not in the center but very close to the metro Nice staff they hosted us in the executive lounge even if ee came before check in time 
378896,378897, the price was great and the staff were helpful 
378925,378926, Friendly helpfull staff very good breakfast 
378944,378945, The staff were friendly and helpful 
378953,378954, One lady staff member very good
378962,378963, The staff was friendly and very helpful 
378986,378987, Helpful and friendly staff The bar across the road was fantastic 
379001,379002, Nice feiendly staff Very close to underground City centre 2 underground stops 
379042,379043, Great lo atino helpfull friendly staff 
379056,379057, the gym was really nice and staff were helpful
379087,379088, Very good breakfast friendly staff No noise from the street 
379113,379114, Very friendly staff good breakfast just 5 stops to the heart of Vienna
379157,379158, Great breakfast close to the subway frienfly staff 
379200,379201, the clean the comfy bed the staff
379245,379246, excellent the staff are very friendly extremely polite and helpful thanks Mr kais sara christina saim and every body 
379282,379283, The unassuming nature of the staff comfy beds excellent transport links the quietness and friendliness 
379283,379284, We staid from 30th December 2016 till 3rd January 2017 The only good item that seems to me what the chocolate that the reception staff gave us as a goodbye gift 
379286,379287, Good position near the metro the staff was very nice 
379288,379289, The staff was amazingly attentive the dinner and breakfast buffets were unbelievable and the accommodations comfortable Our daughters wanted to miss the departing flight and stay longer 
379297,379298, Helpful and polite staff even during the night Covered parking option is really useful in winter Spacious and bright social area with a nice caf 
379329,379330, Wonderful staff about 4 minutes walking from metro station Enkplantz U3 and about 10 minutes to the city center in metro very clean with a very friendly atmosphere great price best for families with children 
379336,379337, Staff were superb and the set up for children was brilliant I was particularly impressed with the children s entertainers in the reception during the evening Nothing seemed to much trouble for staff and I would certainly stay again 
379340,379341, Clean spacious modern very close to metro station safe quiet neighborhood many shops and cafes very friendly staff 
379354,379355, Juffa is founderful place to stay Everything was perfect Very modern very helpful and firendly staff Very good brakfast 
379468,379469, great breakfast and wonderful staff great shower friendly reception
379513,379514, The staff was very helpful She allowed me to print my air tickets which were very urgent 
379565,379566, Ultra clean Very helpful staff Good food reasonably priced 
379652,379653, We loved it calm area and near underground station near nice mall friendly staff specially Katerina
379658,379659, New lots of plug points spacious AC service staff 
379726,379727, outside didn t look much but inside it was beautiful with good attentive staff automated check in seemed unnecessary as everybody seemed to need help but it was efficiently dealt with excellent breakfast parking looked secure and felt safe little walk to train station but pleasant area and surprisingly quiet as near major road links Excellent well done 
379727,379728, Everything was great Lovely staff Easy check in and out system 
379730,379731, Front desk staff was very helpful We had paid for 13 tickets to the and Frank has for her family and lost all correspondence and receipts for the tickets Front office staff volunteered to help us contact and Frankie s and get tickets emailed Huge help to us 
379752,379753, Clean quiet comfortable and pleasant friendly staff
379779,379780, Great service and polite staff Everyone spoke English and did their best to help us with questions cabs and transportation Breakfast had options for all tastes 
379783,379784, The staff were happy and helpful 
379791,379792, I was extremely well satisfied The 12 bus line was right outside the door and we easily traversed the city The neighborhood was quiet the breakfast exceptional and the staff wonderfully helpful I would definitely stay here again 
